Column 1,Column 2,Column 3,Column 4,Column 5
950 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
950 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
955 €/m,"block of flats, 45.5 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
"1,650 €/m","block of flats, 78.5 m²",4H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
948 €/m,"block of flats, 45.5 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
890 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
948 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
840 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
870 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
845 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
840 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
"1,630 €/m","block of flats, 78.5 m²",4H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
"1,385 €/m","block of flats, 68 m²",3H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
945 €/m,"block of flats, 45.5 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
830.65 €/m,"block of flats, 45 m²",2h+kt,"Espoo
    , Tapiola 
 
    , Jousenpuistonkatu 9",Available from 12/1/21
"1,238 €/m","block of flats, 56 m²",3H+KT,"Espoo
    , Niittykumpu 
 
    , Koivu-Mankkaan tie 1",Available from 1/1/22
"1,054 €/m","block of flats, 52 m²",2H+KT+S,"Espoo
    , Saunalahti 
 
    , Saunalahdenkatu 2",Available from 1/1/22
"1,300 €/m","block of flats, 63.5 m²",3H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
935 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
935 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
830 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
930 €/m,"block of flats, 45.5 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
930 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
830 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
930 €/m,"block of flats, 45 m²",2H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
860 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
838 €/m,"block of flats, 31 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykatu 15",Available from 1/1/22
"1,015 €/m","block of flats, 63 m²",2H+K,"Espoo
    , Soukka 
 
    , Soukanahde 4",Available from 1/1/22
"1,050 €/m","block of flats, 51.5 m²",2H+KT,"Espoo
    , Kivenlahti 
 
    , Marinkallio 8",Available from 1/1/22
800 €/m,"block of flats, 85 m²",3h+k+kph+s+wc+vh+lasitettu par,"Espoo
    , Olari 
 
    , Kuunsäde 10 B",Available from 1/1/22
725 €/m,"block of flats, 27 m²",1h + kt + kph + pikkuparveke,"Espoo
    , Leppävaara 
 
    , Mestarinkatu 5 A 4",Available from 12/31/21
900 €/m,"block of flats, 45.5 m²",2h+kk+kph+las.parv.,"Espoo
    , Kilo 
 
    , Kilonkuja 3 A",Available immediately
780 €/m,"block of flats, 33 m²",1h + kt + alk + lasit. p,"Espoo
    , Kivenlahti 
 
    , Marinportti 5",Available from 1/1/22
"1,050 €/m","block of flats, 81.5 m²",3h+k+kph+lasitettu parveke,"Espoo
    , Espoonlahti 
 
    , Ruorimiehenkatu 3 B",Available immediately
"1,169 €/m","block of flats, 74.5 m²",3h+k,"Espoo
    , Kilo 
 
    , Lansantie 3 D",Available from 1/1/22
"1,495 €/m","block of flats, 81.5 m²",4h+k+s,"Espoo
    , Leppävaara 
 
    , Zanseninkuja 6 A",Available from 1/1/22
869 €/m,"block of flats, 50.5 m²",2h+kk,"Espoo
    , Soukka 
 
    , Soukankaari 11 B",Available from 1/1/22
"1,560 €/m","block of flats, 92 m²",4h+kt+s,"Espoo
    , Kivenlahti 
 
    , Marinportti 3",Available from 1/1/22
543 €/m,"block of flats, 12 m²",Omahuone,"Espoo
    , Kivenlahti 
 
    , Aallonhuippu 4",Available from 12/8/21
775 €/m,"block of flats, 45 m²",2h + avok + kph + parveke,"Espoo
    , Kilo 
 
    , Nuijavuori 1","Available from 12/19/21|Display 12/11/21 
                  
                    1:00 PM"
785 €/m,"block of flats, 27 m²",1H + k,"Espoo
    , Niittykumpu 
 
    , Niittykuja 2",Available from 1/1/22
"1,188 €/m","block of flats, 47.5 m²","2h, avok, s, kph, las. parv","Espoo
    , Leppävaara 
 
    , Kauppamiehentie 4 B",Available immediately
850 €/m,"block of flats, 35.5 m²",2h+avok+kph+vh+lasitettu teras,"Espoo
    , Olari 
 
    , Kalliolähteentie 5 C",Available from 1/1/22
792 €/m,"block of flats, 33 m²",1h+alk+kk+kph+ransk.p,"Espoo
    , Tapiola 
 
    , Mäntyviita 4 A",Available immediately
700 €/m,"semi-detached house, 46 m²",1h +keittiö + makuualkovi.,"Espoo
    , Espoonlahti 
 
    , Näkinkaari 10 B, 02320 Espoo",Available immediately
"1,060.49 €/m","row house, 96 m²",4h+k+s,"Espoo
    , Karhusuo 
 
    , Pihkametsä 8",Available from 1/6/22
543 €/m,"block of flats, 17 m²","Omahuone, ak, jaettu kph, yhte","Espoo
    , Kuninkainen 
 
    , Herttuantie 4",Available from 12/3/21
"1,523 €/m","block of flats, 49 m²","2h, k, kph, s, wc","Espoo
    , Leppävaara 
 
    , Porarinkatu 3",Available from 12/3/21
425 €/m,"block of flats, 10 m²","1h, 1yhteisk, jaettu kph","Espoo
    , Kilo 
 
    , Kutojantie 10",Available from 12/15/21
"2,188 €/m","block of flats, 78 m²",,"Espoo
    , Espoonlahti 
 
    , Puosunrinne 6",Available from 12/31/21
810 €/m,"block of flats, 37 m²",Kalustettu 2h+avok+terassi,"Espoo
    , Kiltakallio 
 
    , Valakuja2",Available on agreement
"1,359 €/m","block of flats, 73.5 m²",3h+kt+s,"Espoo
    , Leppävaara 
 
    , Runoratsunkatu 5 A",Available from 12/24/21
"1,099 €/m","block of flats, 67.5 m²",3h+k,"Espoo
    , Matinkylä 
 
    , Kala-Matti 3 A",Available from 2/1/22
879 €/m,"block of flats, 41 m²",1h+k,"Espoo
    , Tapiola 
 
    , Kaskenkaatajantie 5 C",Available from 1/1/22
"1,238 €/m","block of flats, 62 m²",2h+k+s,"Espoo
    , Leppävaara 
 
    , Rummunlyöjänkatu 11 D",Available from 1/1/22
678 €/m,"block of flats, 31.5 m²",1h+avok+kph+alkovi+lasitettu p,"Espoo
    , Espoon keskus 
 
    , Reviisorinkatu 8 A",Available from 1/1/22
675 €/m,"block of flats, 26.5 m²",1h+avok.+kph+ransk.p,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 10 B",Available immediately
675 €/m,"balcony access block, 28.5 m²","1h,kt","Espoo
    , Järvenperä 
 
    , Viljatullintie 2-4",Available from 1/1/22
675 €/m,"balcony access block, 28.5 m²","1h,kt","Espoo
    , Järvenperä 
 
    , Viljatullintie 2-4",Available from 12/1/21
950 €/m,"block of flats, 43 m²",2h+kt,"Espoo
    , Matinkylä 
 
    , Matinkatu 22",Available from 12/15/21
760 €/m,"block of flats, 30.5 m²",1h+kt+kph+terassi,"Espoo
    , Matinkylä 
 
    , Matinkatu (Kaisankuja 1) 22",
933.42 €/m,"block of flats, 48 m²",2h+k+s+parv,"Espoo
    , Matinkylä 
 
    , Matinkallio 2",Available immediately
651.95 €/m,"block of flats, 46 m²",2 h + kt,"Espoo
    , Vermonniitty 
 
    , Kaarlo Sarkian katu 6",Available from 1/1/22
829 €/m,"block of flats, 27.5 m²",1h+kt+var+ransk.,"Espoo
    , Leppävaara 
 
    , Tulkinkuja 3",Available immediately
"1,245.32 €/m","block of flats, 70 m²",3h+k+kh+vh+parv,"Espoo
    , Tapiola 
 
    , Keijuniityntie 3",Available immediately
"1,323.38 €/m","block of flats, 72.5 m²",3h+k+s,"Espoo
    , Leppävaara 
 
    , Leppävaarankatu 17",Available from 12/1/21
"1,038.47 €/m","block of flats, 59 m²",2h+k+s+parv,"Espoo
    , Tuomarila 
 
    , Kulovalkeantie 12 A",Available immediately
"1,548 €/m","block of flats, 100 m²",4h+rt+k+kph+s+lp,"Espoo
    , Viherlaakso 
 
    , Rajamännynkuja 3 C",Available immediately
668 €/m,"block of flats, 33 m²",1h+kk+kph+vh,"Espoo
    , Mäkkylä 
 
    , Sotarovastintie 9 B",Available immediately
