,address,latitude,longitude
313,"Espoo , Olari , Ylismäentie 12",60.167557,24.735159
314,"Espoo , Olari , Ylismäentie 12",60.167557,24.735159
315,"Espoo , Joupintie 8 A",60.201877,24.678904
316,"Espoo , Laajalahti , Heinjoenpolku 1",60.201695,24.782751
317,"Espoo , Niittykumpu , Merituulentie 38 A",60.172015,24.764398
318,"Espoo , Ymmersta , Ullantorppa 2",60.205137,24.707242
319,"Espoo , Suurpelto , Piilipuuntie 11",60.186523,24.74117
320,"Espoo , Haukilahti , Hauenkalliontie 8 D",60.162013,24.770501
321,"Espoo , Matinkylä , Sepetlahdentie 14 D",60.152174,24.741726
322,"Espoo , Ymmersta , Ullanmäentie 14",60.206725,24.71029
323,"Espoo , Iivisniemi , Iivisniemenkatu 4 A 18",60.20956,24.65104
324,"Espoo , Vermonniitty , Perilänniitty 2",60.20956,24.65104
325,"Espoo , Vermonniitty , Kaarlo Sarkian katu 8",60.213992,24.83324
326,"Espoo , Vermonniitty , Perilänniitty 2",60.20956,24.65104
327,"Espoo , Pohjois-Tapiola , Visamäki 5 D",60.188225,24.785047
328,"Espoo , Espoonlahti , Amiraalin Puistotie 10",60.151152,24.662589
329,"Espoo , Ymmersta , Ullanmäentie 14",60.206725,24.71029
330,"Espoo , Vermonniitty , Perilänniitty 2",60.20956,24.65104
331,"Espoo , Vermonniitty , Perilänniitty 2",60.20956,24.65104
332,"Espoo , Tuomarila , Ratalaaksonkuja 14",60.206217,24.677983
333,"Espoo , Vermonniitty , Kaarlo Sarkian katu 8",60.213992,24.83324
334,"Espoo , Vermonniitty , Perilänniitty 2",60.20956,24.65104
335,"Espoo , Otaniemi , Otakuja 3",60.179189,24.828084
336,"Espoo , Saunalahti , Saunalahdenkatu 1 A",60.168787,24.618827
337,"Espoo , Matinkylä , Matinkallio 7 B",60.164303,24.746589
338,"Espoo , Saunalahti , Saunalahdenkatu 1 B",60.168787,24.618827
339,"Espoo , Saunalahti , Reelinkikuja 3 B",60.20956,24.65104
340,"Espoo , Matinkylä , Leenankuja 2 H",60.154515,24.740989
341,"Espoo , Tapiola , Jousenkaari 9",60.175487,24.803185
342,"Espoo , Kauklahti , Bassenkuja 1",60.184653,24.601151
343,"Espoo , Kauklahti , Bassenkuja 1",60.184653,24.601151
344,"Espoo , Espoon keskus , Kiltakuja 5",60.200746,24.653973
345,"Espoo , Espoon keskus , Kiltakuja 5",60.200746,24.653973
346,"Espoo , Espoon keskus , Kiltakuja 5",60.200746,24.653973
347,"Espoo , Karakallio , Karakallionkuja 3 B",60.229283,24.777225
348,"Espoo , Kurttila , Nahkasuutarintie 11",60.182201,24.606024
349,"Espoo , Kilo , Multahaankuja 8",60.222467,24.787305
350,"Espoo , Kilo , Nihtitorpankuja 3",60.208895,24.755313
351,"Espoo , Karakallio , Kotkatie 6 E",60.229283,24.777225
352,"Espoo , Piispanpiha 5 B",60.159058,24.707635
353,"Espoo , Karakallio , Karakalliontie 1 L",60.229283,24.777225
354,"Espoo , Saunalahti , Tyyrpuuri 2",60.20956,24.65104
355,"Espoo , Ymmersta , Ullantorpantie 3",60.205105,24.70387
356,"Espoo , Matinkylä , Leilankuja 4",60.153906,24.742688
357,"Espoo , Espoon keskus , Kirkkojärventie 10 B",60.206317,24.657636
358,"Espoo , Espoon keskus , Kirkkojärventie 10",60.206317,24.657636
359,"Espoo , Niittykumpu , Niittykatu 15",60.172015,24.764398
360,"Espoo , Tiistilä , KALAONNENTIE 3 A",60.15626,24.728604
361,"Espoo , Nuottalahti , Nuottalahdentie 30",60.150779,24.726813
362,"Espoo , Nuottalahti , Verkkokuja 6-8",60.151804,24.737169
363,"Espoo , Suurpelto , Suurpellon Puistokatu 12",60.185966,24.742182
364,"Espoo , Kivenlahti , Merivirta 7",60.15724,24.641398
365,"Espoo , Vermonniitty , Uuno Kailaan katu 5",60.213388,24.833081
366,"Espoo , Mäkkylä , Adjutantinkatu 3 C",60.221627,24.834885
367,"Espoo , Leppävaara , Leppäviita 5",60.22063,24.809466
368,"Espoo , Suurpelto , Piilipuuntie 11",60.186523,24.74117
369,"Espoo , Leppävaara , Huvilinnantie 6 A",60.22063,24.809466
370,"Espoo , Saunalahti , Paapuuri 2",60.20956,24.65104
371,"Espoo , Vermonniitty , Anna Sahlsténin katu 10",60.21383,24.827185
372,"Espoo , Vanttila , Puusorvarintie 3",60.188916,24.618721
373,"Espoo , Viherkallio , Viherkallionkuja 3 HH",60.229602,24.746928
374,"Espoo , Kivenlahti , Aallonhuippu 4",60.15724,24.641398
375,"Espoo , Karakallio , Kotkatie 6 H",60.229283,24.777225
376,"Espoo , Tapiola , Tuulikuja 4 D",60.175487,24.803185
377,"Espoo , Tapiola , Tornitaso 3",60.175487,24.803185
